127.0.0.1 - - [27/Dec/2018:10:55:21 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:56:08 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:56:10 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:56:19 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:56:23 +0700] "GET /urlApplication/SecondServlet HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:56:49 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:56:56 +0700] "GET /urlApplication/SecondServlet HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:59:29 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:59:37 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [27/Dec/2018:10:59:38 +0700] "GET /urlApplication/SecondServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:00:25 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:00:31 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:00:36 +0700] "GET /urlApplication/SecondServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:02:58 +0700] "GET /urlApplication/SecondServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:03:04 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:03:41 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:03:44 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:03:46 +0700] "GET /urlApplication/SecondServlet?user%20=%20hhjd%20&%20pwd%20= HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:04:39 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:04:45 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:04:47 +0700] "GET /urlApplication/SecondServlet?user=kjd&pwd=sss HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:05:04 +0700] "GET /urlApplication/SecondServlet?user=kjd&pwd=sss HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:05:08 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:05:14 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:05:17 +0700] "GET /urlApplication/SecondServlet%20?user=ggg&pwd=gggg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:05:38 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:05:42 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:05:51 +0700] "GET /urlApplication/SecondServlet%20?user=&pwd=nnjd HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:15:01 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:15:06 +0700] "GET /urlApplication/SecondServlet?user=jfklf&pwd=9859 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:17:17 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:17:22 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:17:24 +0700] "GET /urlApplication/SecondServlet?user=jfgf&pwd=jkfk HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:19:48 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:19:55 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:19:56 +0700] "GET /urlApplication/SecondServlet?user=knlgkflg&pwd=gllg HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:20:01 +0700] "GET /urlApplication/ThirdServlet?user=knlgkflg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:21:04 +0700] "GET /urlApplication/SecondServlet?user=knlgkflg&pwd=gllg HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:21:06 +0700] "GET /urlApplication/SecondServlet?user=knlgkflg&pwd=gllg HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:21:08 +0700] "GET /urlApplication/ThirdServlet?user=knlgkflg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:21:14 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:21:26 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:21:28 +0700] "GET /urlApplication/SecondServlet?user=Sothea&pwd=1234 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:28:43 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:28:53 +0700] "POST /urlApplication/FirstServlet HTTP/1.1" 200 73
