127.0.0.1 - - [30/Jan/2019:14:09:28 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:09:31 +0700] "GET /ExpressionLangDemo/ HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:09:42 +0700] "GET /ExpressionLangDemo/Success?user=sothea&pwd=123 HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:10:20 +0700] "GET /ExpressionLangDemo/ HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:10:27 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=123 HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:10:54 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=123 HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:11:09 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=123 HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:11:11 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=123 HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:11:20 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=123 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:11:22 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=123 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:11:41 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=123 HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:13:27 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=123 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:13:33 +0700] "GET /ExpressionLangDemo/Success.jsp?user=Jennie&pwd= HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:14:16 +0700] "GET /ExpressionLangDemo/Success.jsp?user=Jennie&pwd= HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:15:54 +0700] "GET /ExpressionLangDemo/Success.jsp?user=Jennie&pwd= HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:19:23 +0700] "GET /ExpressionLangDemo/Success.jsp?user=Jennie&pwd= HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:19:29 +0700] "GET /ExpressionLangDemo/Success.jsp?user=Jennie&pwd=123 HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:20:02 +0700] "GET /ExpressionLangDemo/Success.jsp?user=Jennie&pwd=123 HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:32:03 +0700] "GET /ExpressionLangDemo/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:32:06 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd= HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:33:13 +0700] "GET /ExpressionLangDemo/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:33:18 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd=lklkkt HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [30/Jan/2019:14:33:40 +0700] "GET /ExpressionLangDemo/Success.jsp?user=sothea&pwd= HTTP/1.1" 200 480
