127.0.0.1 - - [06/Feb/2019:13:36:52 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:36:53 +0700] "GET /jstlTEst/ HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:36:55 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:37:04 +0700] "GET /jstlTEst/Print.jsp?user=sothea HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:37:10 +0700] "GET /jstlTEst/Validate? HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:43:06 +0700] "GET /jstlTEst/ HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:43:13 +0700] "GET /jstlTEst/Print.jsp?user=sothea HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:43:22 +0700] "GET /jstlTEst/Validate? HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:43:33 +0700] "GET /jstlTEst/DB.jsp? HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:44:11 +0700] "GET /jstlTEst/Validate? HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:44:14 +0700] "GET /jstlTEst/DB.jsp? HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:48:59 +0700] "GET /jstlTEst/ HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:49:03 +0700] "GET /jstlTEst/Print.jsp?user= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:49:05 +0700] "GET /jstlTEst/Validate? HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:49:10 +0700] "GET /jstlTEst/DB.jsp? HTTP/1.1" 500 4496
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:50:51 +0700] "GET /jstlTEst/ HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:50:54 +0700] "GET /jstlTEst/Print.jsp?user= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:50:55 +0700] "GET /jstlTEst/Validate? HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:50:58 +0700] "GET /jstlTEst/DB.jsp? HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:52:22 +0700] "GET /jstlTEst/ HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:52:25 +0700] "GET /jstlTEst/Print.jsp?user= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:52:28 +0700] "GET /jstlTEst/Validate? HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:52:30 +0700] "GET /jstlTEst/DB.jsp? HTTP/1.1" 500 4498
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:52:48 +0700] "GET /jstlTEst/ HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:52:51 +0700] "GET /jstlTEst/Print.jsp?user= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:52:52 +0700] "GET /jstlTEst/Validate? HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:52:54 +0700] "GET /jstlTEst/DB.jsp? HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:54:01 +0700] "GET /jstlTEst/ HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:54:04 +0700] "GET /jstlTEst/Print.jsp?user= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:54:06 +0700] "GET /jstlTEst/Validate? HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [06/Feb/2019:13:54:09 +0700] "GET /jstlTEst/DB.jsp? HTTP/1.1" 200 551
